project,model,feature,test_plan,score,full_points,normalized_score,num_steps,steps_passed,steps_failed,steps_not_evaluated,is_complete_pass,is_complete_fail,is_seeding_failure,is_build_failure,build_iterations,file_path
collabrative_kaban,kimi_k3_gke,feature3,regression,30,30,100.00,5,5,0,0,True,False,False,False,148,/workspace/results/collabrative_kaban/kimi_k3_gke/feature3/test_plans/regression/agent_evaluation/evaluation-finished.json
collabrative_kaban,kimi_k3_gke,feature3,test1,47,47,100.00,8,8,0,0,True,False,False,False,148,/workspace/results/collabrative_kaban/kimi_k3_gke/feature3/test_plans/test1/agent_evaluation/evaluation-finished.json
collabrative_kaban,kimi_k3_gke,feature3,test2,64,64,100.00,7,7,0,0,True,False,False,False,148,/workspace/results/collabrative_kaban/kimi_k3_gke/feature3/test_plans/test2/agent_evaluation/evaluation-finished.json
family_friendly_venue,kimi_k3_gke,feature1,regression,40,40,100.00,7,7,0,0,True,False,False,False,109,/workspace/results/family_friendly_venue/kimi_k3_gke/feature1/test_plans/regression/agent_evaluation/evaluation-finished.json
family_friendly_venue,kimi_k3_gke,feature1,test1,32,58,55.17,8,4,4,0,False,False,False,False,109,/workspace/results/family_friendly_venue/kimi_k3_gke/feature1/test_plans/test1/agent_evaluation/evaluation-finished.json
family_friendly_venue,kimi_k3_gke,feature1,test2,42,58,72.41,9,6,3,0,False,False,False,False,109,/workspace/results/family_friendly_venue/kimi_k3_gke/feature1/test_plans/test2/agent_evaluation/evaluation-finished.json
family_friendly_venue,kimi_k3_gke,feature1,test3,38,38,100.00,6,6,0,0,True,False,False,False,109,/workspace/results/family_friendly_venue/kimi_k3_gke/feature1/test_plans/test3/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature1,regression,10,10,100.00,2,2,0,0,True,False,False,False,68,/workspace/results/furniture_freight/kimi_k3_gke/feature1/test_plans/regression/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature1,test1,0,25,0.00,3,0,3,0,False,True,False,False,68,/workspace/results/furniture_freight/kimi_k3_gke/feature1/test_plans/test1/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature1,test2,25,25,100.00,3,3,1,0,True,False,False,False,68,/workspace/results/furniture_freight/kimi_k3_gke/feature1/test_plans/test2/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature1,test3,0,45,0.00,6,0,6,0,False,True,False,False,68,/workspace/results/furniture_freight/kimi_k3_gke/feature1/test_plans/test3/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature2,regression,15,15,100.00,2,2,0,0,True,False,False,False,72,/workspace/results/furniture_freight/kimi_k3_gke/feature2/test_plans/regression/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature2,test1,24,24,100.00,3,3,0,0,True,False,False,False,72,/workspace/results/furniture_freight/kimi_k3_gke/feature2/test_plans/test1/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature2,test2,26,26,100.00,3,3,0,0,True,False,False,False,72,/workspace/results/furniture_freight/kimi_k3_gke/feature2/test_plans/test2/agent_evaluation/evaluation-finished.json
furniture_freight,kimi_k3_gke,feature3,regression,20,20,100.00,2,2,0,0,True,False,False,False,113,/workspace/results/furniture_freight/kimi_k3_gke/feature3/test_plans/regression/agent_evaluation/evaluation-finished.json
